Tweet_id,sentiment
1221883443467952128,Positive
1221875106206638080,Positive
1221884257490042887,Neutral
1221882556548816896,Neutral
1227326811652026368,Positive
1221881289881550848,Positive
1226422627436310528,Positive
1221880820815798277,Positive
1221884400377499651,Neutral
1221881406168731649,Neutral
1221882066561830912,Positive
1221882259139067911,Neutral
1224586865040396288,Neutral
1221882047691657217,Neutral
1221880371773673474,Neutral
1226410076623245313,Neutral
1221880330203881473,Positive
1221884254025482240,Negative
1221880838129881090,Positive
1221882386792747008,Neutral
1221882659066064896,Neutral
1221884473555456000,Negative
1226408244018647041,Positive
1221881370034823169,Positive
1226422334451523585,Positive
1221880421392297985,Positive
1221884599611072512,Neutral
1221883147509551104,Neutral
1221883899988541442,Neutral
1221881299369103361,Neutral
1221884340507942914,Negative
1221884808290283522,Neutral
1221884605487362048,Neutral
1221883580449804288,Positive
1224561573869576192,Positive
1221883232829964293,Positive
1221881503686299649,Positive
1221882697955659776,Neutral
1221884852032757760,Positive
1221885185618259968,Neutral
1221782869103775744,Positive
1221884368685338624,Negative
1221882082227605504,Positive
1221884104855248898,Positive
1221883485289373697,Negative
1221882582788444160,Neutral
1221885170153852929,Neutral
1221883892497616896,Negative
1223409479775064064,Neutral
1221881795056226305,Negative
1221867394962001921,Neutral
1221883191054807040,Neutral
1227451426424664068,Negative
1221884685111963648,Negative
1221881239885565952,Neutral
1221884232173346816,Positive
1227452474992287751,Positive
1221882918911520769,Positive
1221882216399212547,Neutral
1221882777131540481,Positive
1221882184442830849,Positive
1221882193728933889,Positive
1221820850434990081,Neutral
1226425431378874368,Positive
1221783013815717895,Positive
1221882634663604224,Negative
1221884236996775942,Negative
1223405995336044545,Neutral
1221880773579550720,Positive
1221882629684912128,Neutral
1221885191268052992,Negative
1221882970279174148,Neutral
1226409110813466624,Neutral
1221858631169314817,Neutral
1213619904999501824,Neutral
1221882826632695810,Positive
1223561886173683712,Neutral
1221883033084747777,Positive
1226428086318780417,Positive
1227324762679963648,Neutral
1221877180248002560,Neutral
1221864470688997376,Neutral
1221882447652171782,Neutral
1221884173801181188,Neutral
1221884599900549120,Neutral
1228686000915963904,Neutral
1221884621916385285,Neutral
1221881309087379456,Positive
1221880298927017984,Negative
1221882665294553100,Neutral
1221882634441318401,Neutral
1227326779964231680,Neutral
1221885079833714689,Neutral
1221885159747784705,Neutral
1221882833242861569,Neutral
1227452289004265473,Neutral
1221881154657300480,Positive
1221882285823315969,Neutral
1226423157826957312,Positive
1221881394877665280,Neutral
1221882517202128897,Negative
1221883666797862914,Neutral
1221869546547621892,Neutral
1221884137029689355,Neutral
1227451116142694400,Negative
1221882064825470983,Neutral
1221884492601810945,Positive
1221884357876559872,Neutral
1226409144351166465,Neutral
1221882023654109184,Neutral
1221881056917323777,Neutral
1226427736081612802,Negative
1221881565053116416,Neutral
1221883402875478022,Neutral
1221881774822907904,Neutral
1221714216807206912,Neutral
1221882540342026246,Neutral
1221882699419398144,Positive
1221632694980878336,Neutral
1221882940466106368,Negative
1221882181166997506,Positive
1221883345442832384,Neutral
1221882980001636353,Neutral
1221881913599762432,Positive
1221883015485448194,Positive
1221801457940336641,Neutral
1221883783110107140,Positive
1221880620164534274,Positive
1221884539393527808,Neutral
1221882594716942338,Neutral
1221883667309572097,Negative
1221881037413928960,Positive
1221882880328118273,Neutral
1221884415560863750,Neutral
1221884868751167490,Neutral
1220023668933320704,Negative
